theme,FundingName,year,recipients,totalAwarded,maxAwarded,avgAwarded,id
activity,The Tudor Trust,2014,4,"£221,000","£80,000","£55,250",activity-The Tudor Trust
activity,The Tudor Trust,2015,1,"£12,500","£12,500","£12,500",activity-The Tudor Trust
activity,The Tudor Trust,2017,3,"£119,000","£80,000","£39,667",activity-The Tudor Trust
activity,Three Guineas Trust,2017,1,"£97,500","£97,500","£97,500",activity-Three Guineas Trust
activity,Trafford Housing Trust Social Investment,2014,7,"£24,056","£5,100","£3,437",activity-Trafford Housing Trust Social Investment
activity,Trafford Housing Trust Social Investment,2015,10,"£54,964","£10,000","£5,496",activity-Trafford Housing Trust Social Investment
activity,Trafford Housing Trust Social Investment,2016,15,"£72,205","£13,160","£4,814",activity-Trafford Housing Trust Social Investment
activity,Trafford Housing Trust Social Investment,2017,8,"£22,970","£9,980","£2,871",activity-Trafford Housing Trust Social Investment
activity,Trafford Metropolitan Borough Council,2013,6,"£17,060","£4,800","£2,843",activity-Trafford Metropolitan Borough Council
activity,Trafford Metropolitan Borough Council,2014,4,"£12,428","£4,000","£3,107",activity-Trafford Metropolitan Borough Council
activity,True Colours Trust,2015,1,"£5,000","£5,000","£5,000",activity-True Colours Trust
activity,True Colours Trust,2016,1,"£5,000","£5,000","£5,000",activity-True Colours Trust
activity,Two Ridings Community Foundation,2017,8,"£37,080","£10,000","£4,635",activity-Two Ridings Community Foundation
activity,United St Saviour's Charity,2016,1,"£45,704","£45,704","£45,704",activity-United St Saviour's Charity
activity,Virgin Money Foundation,2017,2,"£190,000","£150,000","£95,000",activity-Virgin Money Foundation
activity,Wiltshire Community Foundation,2015,5,"£6,800","£2,000","£1,360",activity-Wiltshire Community Foundation
activity,Wiltshire Community Foundation,2016,4,"£21,050","£15,000","£5,263",activity-Wiltshire Community Foundation
activity,Wiltshire Community Foundation,2017,2,"£2,646","£1,646","£1,323",activity-Wiltshire Community Foundation
activity,Woodward Charitable Trust,2004,1,"£2,500","£2,500","£2,500",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2005,2,"£1,500","£1,000",£750,activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2007,1,£500,£500,£500,activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2008,2,"£6,160","£4,000","£3,080",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2010,1,"£2,000","£2,000","£2,000",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2011,3,"£3,700","£1,500","£1,233",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2012,4,"£9,000","£5,000","£2,250",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2014,2,"£1,300","£1,000",£650,activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2015,9,"£5,500","£1,000",£611,activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2016,3,"£4,000","£2,000","£1,333",activity-Woodward Charitable Trust
activity,Woodward Charitable Trust,2017,1,£500,£500,£500,activity-Woodward Charitable Trust
child,A B Charitable Trust,2014,1,"£5,000","£5,000","£5,000",child-A B Charitable Trust
child,A B Charitable Trust,2016,1,"£20,000","£20,000","£20,000",child-A B Charitable Trust
child,Barrow Cadbury Trust,2012,1,"£47,000","£47,000","£47,000",child-Barrow Cadbury Trust
child,Barrow Cadbury Trust,2014,1,"£28,000","£28,000","£28,000",child-Barrow Cadbury Trust
child,Barrow Cadbury Trust,2015,1,"£10,800","£10,800","£10,800",child-Barrow Cadbury Trust
child,Barrow Cadbury Trust,2016,1,"£48,500","£48,500","£48,500",child-Barrow Cadbury Trust
child,Barrow Cadbury Trust,2017,1,"£100,000","£100,000","£100,000",child-Barrow Cadbury Trust
child,BBC Children in Need,2011,1,"£26,468","£26,468","£26,468",child-BBC Children in Need
child,BBC Children in Need,2013,104,"£6,588,368","£113,983","£63,350",child-BBC Children in Need
child,BBC Children in Need,2014,249,"£18,280,334","£151,811","£73,415",child-BBC Children in Need
child,BBC Children in Need,2015,540,"£24,017,915","£128,280","£44,478",child-BBC Children in Need
child,Birmingham City Council,2014,14,"£348,295","£162,869","£24,878",child-Birmingham City Council
child,Birmingham City Council,2015,14,"£284,397","£100,000","£20,314",child-Birmingham City Council
child,Birmingham City Council,2016,12,"£20,621","£5,000","£1,718",child-Birmingham City Council
child,Birmingham City Council,2017,3,"£2,330","£1,138",£777,child-Birmingham City Council
child,"Calouste Gulbenkian Foundation, UK Branch",2015,1,"£18,000","£18,000","£18,000","child-Calouste Gulbenkian Foundation, UK Branch"
child,Cheshire Community Foundation,2016,26,"£156,709","£17,000","£6,027",child-Cheshire Community Foundation
child,Cheshire Community Foundation,2017,37,"£217,905","£25,000","£5,889",child-Cheshire Community Foundation
child,City Bridge Trust,2014,4,"£267,300","£102,100","£66,825",child-City Bridge Trust
child,City Bridge Trust,2015,4,"£246,200","£104,000","£61,550",child-City Bridge Trust
child,City Bridge Trust,2016,8,"£636,100","£120,000","£79,513",child-City Bridge Trust
child,City Bridge Trust,2017,4,"£345,700","£108,200","£86,425",child-City Bridge Trust
child,Co-operative Group,2017,1656,"£4,055,511","£11,379","£2,449",child-Co-operative Group
child,Community Foundation for Surrey,2016,21,"£71,840","£13,981","£3,421",child-Community Foundation for Surrey
child,Community Foundation for Surrey,2017,5,"£24,835","£8,200","£4,967",child-Community Foundation for Surrey
child,Community Foundation serving Tyne & Wear and Northumberland,2015,17,"£68,872","£10,000","£4,051",child-Community Foundation serving Tyne & Wear and Northumberland
child,Community Foundation serving Tyne & Wear and Northumberland,2016,29,"£128,055","£22,000","£4,416",child-Community Foundation serving Tyne & Wear and Northumberland
child,Community Foundation serving Tyne & Wear and Northumberland,2017,10,"£77,968","£40,000","£7,797",child-Community Foundation serving Tyne & Wear and Northumberland
child,Corra Foundation,2015,21,"£759,104","£299,200","£36,148",child-Corra Foundation
child,Corra Foundation,2016,22,"£216,740","£60,000","£9,852",child-Corra Foundation
child,Corra Foundation,2017,25,"£114,071","£6,500","£4,563",child-Corra Foundation
child,Essex Community Foundation,2016,21,"£203,054","£115,200","£9,669",child-Essex Community Foundation
child,Essex Community Foundation,2017,25,"£199,496","£105,000","£7,980",child-Essex Community Foundation
child,Greenham Common Trust,2015,4,"£3,655","£2,500",£914,child-Greenham Common Trust
child,Greenham Common Trust,2016,3,"£11,387","£6,212","£3,796",child-Greenham Common Trust
child,Heart Of England Community Foundation,2016,11,"£9,130","£1,440",£830,child-Heart Of England Community Foundation
child,Heart Of England Community Foundation,2017,7,"£33,188","£14,400","£4,741",child-Heart Of England Community Foundation
child,Indigo Trust,2004,2,"£90,000","£70,000","£45,000",child-Indigo Trust
child,Indigo Trust,2005,1,"£35,000","£35,000","£35,000",child-Indigo Trust
child,Indigo Trust,2014,2,"£9,500","£6,500","£4,750",child-Indigo Trust
child,Indigo Trust,2015,1,"£11,872","£11,872","£11,872",child-Indigo Trust
child,Joseph Rowntree Charitable Trust,2017,1,"£120,000","£120,000","£120,000",child-Joseph Rowntree Charitable Trust
child,Joseph Rowntree Foundation,2016,3,"£10,334","£5,000","£3,445",child-Joseph Rowntree Foundation
child,Joseph Rowntree Foundation,2017,5,"£21,327","£6,032","£4,265",child-Joseph Rowntree Foundation
child,LandAid Charitable Trust,2015,1,"£20,000","£20,000","£20,000",child-LandAid Charitable Trust
child,Lankelly Chase Foundation,2015,6,"£882,748","£344,248","£147,125",child-Lankelly Chase Foundation
child,Lankelly Chase Foundation,2016,3,"£254,514","£150,866","£84,838",child-Lankelly Chase Foundation
child,Lankelly Chase Foundation,2017,4,"£755,681","£400,000","£188,920",child-Lankelly Chase Foundation
child,Lloyd's Register Foundation,2016,4,"£174,466","£102,200","£43,617",child-Lloyd's Register Foundation
child,Lloyds Bank Foundation for England and Wales,2010,20,"£513,500","£44,400","£25,675",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2011,15,"£382,200","£40,000","£25,480",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2012,15,"£319,000","£30,000","£21,267",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2013,107,"£2,401,891","£40,000","£22,448",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2014,76,"£1,897,425","£75,000","£24,966",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2015,20,"£921,243","£74,352","£46,062",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2016,18,"£964,344","£75,000","£53,575",child-Lloyds Bank Foundation for England and Wales
child,Lloyds Bank Foundation for England and Wales,2017,17,"£868,077","£75,000","£51,063",child-Lloyds Bank Foundation for England and Wales
child,London Borough of Barnet,2016,2,"£7,310","£4,810","£3,655",child-London Borough of Barnet
child,London Borough of Barnet,2017,4,"£12,500","£5,000","£3,125",child-London Borough of Barnet
child,London Borough of Southwark,2016,21,"£1,866,926","£274,233","£88,901",child-London Borough of Southwark
child,London Catalyst,2012,4,"£12,242","£4,742","£3,061",child-London Catalyst
child,London Catalyst,2013,3,"£12,250","£8,250","£4,083",child-London Catalyst
child,London Catalyst,2014,1,"£1,500","£1,500","£1,500",child-London Catalyst
child,London Catalyst,2015,6,"£20,500","£5,000","£3,417",child-London Catalyst
child,London Catalyst,2016,3,"£4,500","£2,000","£1,500",child-London Catalyst
child,London Catalyst,2017,3,"£7,300","£3,000","£2,433",child-London Catalyst
child,London Councils,2013,4,"£3,281,528","£1,800,000","£820,382",child-London Councils
child,London Councils,2017,3,"£4,309,684","£3,360,000","£1,436,561",child-London Councils
child,Macc,2017,2,"£3,859","£2,000","£1,930",child-Macc
child,Masonic Charitable Foundation,2016,30,"£677,172","£110,000","£22,572",child-Masonic Charitable Foundation
child,Masonic Charitable Foundation,2017,4,"£14,500","£5,000","£3,625",child-Masonic Charitable Foundation
child,Millfield House Foundation,2015,1,"£72,400","£72,400","£72,400",child-Millfield House Foundation
child,Millfield House Foundation,2016,1,"£120,000","£120,000","£120,000",child-Millfield House Foundation
child,Nationwide Foundation,2009,4,"£20,000","£5,000","£5,000",child-Nationwide Foundation
child,Nationwide Foundation,2010,3,"£13,000","£5,000","£4,333",child-Nationwide Foundation
child,Nesta,2013,1,"£120,000","£120,000","£120,000",child-Nesta
child,Nesta,2014,1,"£103,651","£103,651","£103,651",child-Nesta
child,Nesta,2015,1,"£50,000","£50,000","£50,000",child-Nesta
child,One Manchester,2015,6,"£13,900","£5,000","£2,317",child-One Manchester
child,One Manchester,2016,2,"£8,000","£5,000","£4,000",child-One Manchester
child,Oxford City Council,2014,1,"£7,500","£7,500","£7,500",child-Oxford City Council
child,Oxford City Council,2015,3,"£14,500","£7,000","£4,833",child-Oxford City Council
child,Oxford City Council,2016,3,"£8,950","£4,450","£2,983",child-Oxford City Council
child,Oxford City Council,2017,4,"£58,500","£25,000","£14,625",child-Oxford City Council
child,Oxfordshire Community Foundation,2013,9,"£9,402","£1,650","£1,045",child-Oxfordshire Community Foundation
child,Oxfordshire Community Foundation,2014,1,"£8,000","£8,000","£8,000",child-Oxfordshire Community Foundation
child,Oxfordshire Community Foundation,2015,9,"£10,887","£2,000","£1,210",child-Oxfordshire Community Foundation
child,Oxfordshire Community Foundation,2016,20,"£78,296","£30,000","£3,915",child-Oxfordshire Community Foundation
child,Oxfordshire Community Foundation,2017,27,"£222,599","£70,000","£8,244",child-Oxfordshire Community Foundation
child,Pears Foundation,2016,1,"£50,000","£50,000","£50,000",child-Pears Foundation
child,Power to Change,2016,4,"£1,052,854","£475,000","£263,214",child-Power to Change
child,Quartet Community Foundation,2016,60,"£203,814","£26,300","£3,397",child-Quartet Community Foundation
child,Quartet Community Foundation,2017,83,"£296,645","£27,000","£3,574",child-Quartet Community Foundation
child,R S Macdonald Charitable Trust,2015,38,"£1,001,679","£90,000","£26,360",child-R S Macdonald Charitable Trust
child,R S Macdonald Charitable Trust,2016,33,"£694,166","£48,253","£21,035",child-R S Macdonald Charitable Trust
child,R S Macdonald Charitable Trust,2017,31,"£1,036,160","£120,000","£33,425",child-R S Macdonald Charitable Trust
child,Road Safety Trust,2017,1,"£105,592","£105,592","£105,592",child-Road Safety Trust
child,Scottish Council For Voluntary Organisations,2015,3,"£27,702","£9,552","£9,234",child-Scottish Council For Voluntary Organisations
child,Scottish Council For Voluntary Organisations,2016,15,"£85,539","£9,918","£5,703",child-Scottish Council For Voluntary Organisations
child,Scottish Council For Voluntary Organisations,2017,3,"£25,365","£9,736","£8,455",child-Scottish Council For Voluntary Organisations
child,Seafarers UK,2017,2,"£150,000","£100,000","£75,000",child-Seafarers UK
child,Somerset Community Foundation,2016,12,"£23,860","£3,850","£1,988",child-Somerset Community Foundation
child,Somerset Community Foundation,2017,2,"£7,600","£5,000","£3,800",child-Somerset Community Foundation
child,Staples Trust,2015,1,"£10,000","£10,000","£10,000",child-Staples Trust
child,Staples Trust,2017,2,"£6,000","£4,500","£3,000",child-Staples Trust
child,Tedworth Charitable Trust,2016,1,"£18,500","£18,500","£18,500",child-Tedworth Charitable Trust
child,The Blagrave Trust,2014,5,"£354,300","£138,900","£70,860",child-The Blagrave Trust
child,The Blagrave Trust,2015,3,"£275,000","£135,000","£91,667",child-The Blagrave Trust
child,The Blagrave Trust,2016,5,"£241,600","£78,000","£48,320",child-The Blagrave Trust
child,The Blagrave Trust,2017,1,"£75,000","£75,000","£75,000",child-The Blagrave Trust
child,The Clothworkers Foundation,2016,3,"£100,000","£80,000","£33,333",child-The Clothworkers Foundation
child,The Clothworkers Foundation,2017,3,"£53,100","£33,100","£17,700",child-The Clothworkers Foundation
child,The Dulverton Trust,2005,5,"£43,500","£30,000","£8,700",child-The Dulverton Trust
child,The Dulverton Trust,2006,10,"£90,900","£35,000","£9,090",child-The Dulverton Trust
child,The Dulverton Trust,2007,12,"£67,200","£25,000","£5,600",child-The Dulverton Trust
child,The Dulverton Trust,2008,13,"£81,200","£24,200","£6,246",child-The Dulverton Trust
child,The Dulverton Trust,2009,11,"£94,000","£30,000","£8,545",child-The Dulverton Trust
child,The Dulverton Trust,2010,13,"£167,100","£30,000","£12,854",child-The Dulverton Trust
child,The Dulverton Trust,2011,2,"£32,500","£30,000","£16,250",child-The Dulverton Trust
child,The Dulverton Trust,2012,3,"£100,000","£50,000","£33,333",child-The Dulverton Trust
child,The Dulverton Trust,2013,1,"£30,000","£30,000","£30,000",child-The Dulverton Trust
child,The Dulverton Trust,2014,1,"£46,000","£46,000","£46,000",child-The Dulverton Trust
child,The Dulverton Trust,2015,1,"£30,000","£30,000","£30,000",child-The Dulverton Trust
child,The Dulverton Trust,2016,1,"£75,000","£75,000","£75,000",child-The Dulverton Trust
child,The Dulverton Trust,2017,2,"£126,150","£111,150","£63,075",child-The Dulverton Trust
child,The Fore,2014,1,"£26,000","£26,000","£26,000",child-The Fore
child,The Fore,2015,1,"£17,402","£17,402","£17,402",child-The Fore
child,The Henry Smith Charity,2012,124,"£3,337,755","£300,000","£26,917",child-The Henry Smith Charity
child,The Henry Smith Charity,2013,144,"£3,259,889","£196,400","£22,638",child-The Henry Smith Charity
child,The Henry Smith Charity,2014,164,"£3,077,687","£150,000","£18,766",child-The Henry Smith Charity
child,The Henry Smith Charity,2015,160,"£2,997,830","£150,000","£18,736",child-The Henry Smith Charity
child,The Henry Smith Charity,2016,173,"£4,140,165","£135,700","£23,932",child-The Henry Smith Charity
child,The Henry Smith Charity,2017,31,"£507,350","£98,500","£16,366",child-The Henry Smith Charity
child,The Joseph Rank Trust,2017,2,"£66,000","£39,000","£33,000",child-The Joseph Rank Trust
child,The Robertson Trust,2015,8,"£533,000","£250,000","£66,625",child-The Robertson Trust
child,The Robertson Trust,2016,15,"£556,500","£200,000","£37,100",child-The Robertson Trust
child,The Robertson Trust,2017,13,"£179,000","£57,000","£13,769",child-The Robertson Trust
child,The Tudor Trust,2013,9,"£480,000","£120,000","£53,333",child-The Tudor Trust
child,The Tudor Trust,2014,13,"£624,500","£90,000","£48,038",child-The Tudor Trust
child,The Tudor Trust,2015,16,"£988,250","£150,000","£61,766",child-The Tudor Trust
child,The Tudor Trust,2016,10,"£586,100","£120,000","£58,610",child-The Tudor Trust
child,The Tudor Trust,2017,15,"£711,836","£112,000","£47,456",child-The Tudor Trust
child,Three Guineas Trust,2015,3,"£164,000","£144,000","£54,667",child-Three Guineas Trust
child,Three Guineas Trust,2017,1,"£97,500","£97,500","£97,500",child-Three Guineas Trust
child,Trafford Housing Trust Social Investment,2014,16,"£38,562","£5,665","£2,410",child-Trafford Housing Trust Social Investment
child,Trafford Housing Trust Social Investment,2015,21,"£104,422","£11,786","£4,972",child-Trafford Housing Trust Social Investment
child,Trafford Housing Trust Social Investment,2016,31,"£141,475","£13,120","£4,564",child-Trafford Housing Trust Social Investment
child,Trafford Housing Trust Social Investment,2017,15,"£36,934","£12,200","£2,462",child-Trafford Housing Trust Social Investment
child,Trafford Metropolitan Borough Council,2013,6,"£16,341","£4,116","£2,724",child-Trafford Metropolitan Borough Council
child,Trafford Metropolitan Borough Council,2014,4,"£13,378","£4,000","£3,345",child-Trafford Metropolitan Borough Council
child,Trafford Metropolitan Borough Council,2017,4,"£6,641","£2,440","£1,660",child-Trafford Metropolitan Borough Council
child,True Colours Trust,2013,1,"£5,000","£5,000","£5,000",child-True Colours Trust
child,True Colours Trust,2014,3,"£56,820","£47,450","£18,940",child-True Colours Trust
child,True Colours Trust,2015,9,"£42,471","£7,270","£4,719",child-True Colours Trust
child,True Colours Trust,2016,9,"£65,072","£27,960","£7,230",child-True Colours Trust
child,True Colours Trust,2017,14,"£377,976","£127,237","£26,998",child-True Colours Trust
child,Tuixen Foundation,2010,5,"£110,000","£30,000","£22,000",child-Tuixen Foundation
child,Tuixen Foundation,2011,3,"£70,000","£30,000","£23,333",child-Tuixen Foundation
child,Tuixen Foundation,2012,7,"£103,000","£30,000","£14,714",child-Tuixen Foundation
child,Tuixen Foundation,2013,2,"£48,000","£30,000","£24,000",child-Tuixen Foundation
child,Tuixen Foundation,2014,6,"£157,000","£50,000","£26,167",child-Tuixen Foundation
child,Tuixen Foundation,2015,5,"£180,000","£50,000","£36,000",child-Tuixen Foundation
child,Tuixen Foundation,2016,6,"£190,000","£50,000","£31,667",child-Tuixen Foundation
child,Tuixen Foundation,2017,9,"£200,000","£50,000","£22,222",child-Tuixen Foundation
child,Two Ridings Community Foundation,2017,15,"£33,960","£10,000","£2,264",child-Two Ridings Community Foundation
child,United St Saviour's Charity,2016,2,"£79,815","£56,000","£39,908",child-United St Saviour's Charity
child,United St Saviour's Charity,2017,8,"£135,065","£39,897","£16,883",child-United St Saviour's Charity
child,Virgin Money Foundation,2015,2,"£75,403","£40,588","£37,702",child-Virgin Money Foundation
child,Virgin Money Foundation,2016,1,"£28,750","£28,750","£28,750",child-Virgin Money Foundation
child,Virgin Money Foundation,2017,1,"£48,989","£48,989","£48,989",child-Virgin Money Foundation
child,Walcot Foundation,2012,2,"£110,000","£100,000","£55,000",child-Walcot Foundation
child,Walcot Foundation,2013,3,"£80,048","£58,773","£26,683",child-Walcot Foundation
