"theme","fundersTop10","country","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"activity","The Big Lottery Fund","Bangladesh",2016,1,9866,9866,9866
"activity","The Big Lottery Fund","Brazil",2004,2,3000,1950,1500
"activity","The Big Lottery Fund","Brazil",2006,1,72620,72620,72620
"activity","The Big Lottery Fund","Brazil",2009,1,4800,4800,4800
"activity","The Big Lottery Fund","Brazil",2011,1,10000,10000,10000
"activity","The Big Lottery Fund","Brazil",2015,1,8310,8310,8310
"activity","The Big Lottery Fund","Cambodia",2013,1,508966,508966,508966
"activity","The Big Lottery Fund","Cameroon",2009,1,750,750,750
"activity","The Big Lottery Fund","Cameroon",2016,1,9100,9100,9100
"activity","The Big Lottery Fund","Chad",2004,1,622848,622848,622848
"activity","The Big Lottery Fund","Chad",2006,1,5000,5000,5000
"activity","The Big Lottery Fund","China",2008,1,10000,10000,10000
"activity","The Big Lottery Fund","Colombia",2006,1,10000,10000,10000
"activity","The Big Lottery Fund","Congo",2004,1,5000,5000,5000
"activity","The Big Lottery Fund","Congo",2010,1,10000,10000,10000
"activity","The Big Lottery Fund","Congo",2013,1,5660,5660,5660
"activity","The Big Lottery Fund","Ethiopia",2004,1,5000,5000,5000
"activity","The Big Lottery Fund","France",2006,1,5000,5000,5000
"activity","The Big Lottery Fund","France",2007,2,12155,10000,6077.5
"activity","The Big Lottery Fund","France",2008,1,900,900,900
"activity","The Big Lottery Fund","Germany",2006,1,5000,5000,5000
"activity","The Big Lottery Fund","Germany",2008,1,10000,10000,10000
"activity","The Big Lottery Fund","Ghana",2007,1,355749,355749,355749
"activity","The Big Lottery Fund","Greece",2006,1,5000,5000,5000
"activity","The Big Lottery Fund","Greece",2011,1,60000,60000,60000
"activity","The Big Lottery Fund","Haiti",2007,1,524735,524735,524735
"activity","The Big Lottery Fund","India",2005,1,3200,3200,3200
"activity","The Big Lottery Fund","India",2006,2,12750,7750,6375
"activity","The Big Lottery Fund","India",2007,1,2700,2700,2700
"activity","The Big Lottery Fund","India",2008,3,513755,498323,171251.666666667
"activity","The Big Lottery Fund","India",2009,1,9440,9440,9440
"activity","The Big Lottery Fund","India",2011,1,9730,9730,9730
"activity","The Big Lottery Fund","India",2012,1,4343,4343,4343
"activity","The Big Lottery Fund","India",2015,1,9810,9810,9810
"activity","The Big Lottery Fund","India",2016,1,10000,10000,10000
"activity","The Big Lottery Fund","Iran",2004,1,5000,5000,5000
"activity","The Big Lottery Fund","Iran",2007,1,3200,3200,3200
"activity","The Big Lottery Fund","Iran",2010,1,9500,9500,9500
"activity","The Big Lottery Fund","Ireland",2004,1,2324647,2324647,2324647
"activity","The Big Lottery Fund","Ireland",2005,1,2790,2790,2790
"activity","The Big Lottery Fund","Ireland",2006,1,30000,30000,30000
"activity","The Big Lottery Fund","Ireland",2012,1,1979,1979,1979
"activity","The Big Lottery Fund","Israel",2005,1,4886,4886,4886
"activity","The Big Lottery Fund","Israel",2006,1,10000,10000,10000
"activity","The Big Lottery Fund","Israel",2008,1,8579,8579,8579
"activity","The Big Lottery Fund","Japan",2007,1,5297,5297,5297
"activity","The Big Lottery Fund","Kenya",2006,1,9977,9977,9977
"activity","The Big Lottery Fund","Malaysia",2005,1,5000,5000,5000
"activity","The Big Lottery Fund","Mozambique",2007,1,499636,499636,499636
"activity","The Big Lottery Fund","Mozambique",2008,1,518943,518943,518943
"activity","The Big Lottery Fund","Norway",2006,1,3600,3600,3600
"activity","The Big Lottery Fund","Pakistan",2004,2,9620,4980,4810
"activity","The Big Lottery Fund","Pakistan",2005,5,18488,5000,3697.6
"activity","The Big Lottery Fund","Pakistan",2007,2,15000,10000,7500
"activity","The Big Lottery Fund","Pakistan",2011,2,19245,9750,9622.5
"activity","The Big Lottery Fund","Pakistan",2012,1,10000,10000,10000
"activity","The Big Lottery Fund","Pakistan",2014,1,1765,1765,1765
"activity","The Big Lottery Fund","Pakistan",2016,2,13648,8648,6824
"activity","The Big Lottery Fund","Russia",2005,1,5000,5000,5000
"activity","The Big Lottery Fund","Russia",2012,1,500,500,500
"activity","The Big Lottery Fund","Russia",2016,1,5940,5940,5940
"activity","The Big Lottery Fund","Senegal",2016,1,8950,8950,8950
"activity","The Big Lottery Fund","Slovakia",2009,1,10000,10000,10000
"activity","The Big Lottery Fund","Somalia",2004,1,1662,1662,1662
"activity","The Big Lottery Fund","Somalia",2006,1,9040,9040,9040
"activity","The Big Lottery Fund","Somalia",2012,1,9845,9845,9845
"activity","The Big Lottery Fund","South Africa",2009,1,9014,9014,9014
"activity","The Big Lottery Fund","Spain",2005,1,5000,5000,5000
"activity","The Big Lottery Fund","Spain",2006,1,9675,9675,9675
"activity","The Big Lottery Fund","Sri Lanka",2008,1,4370,4370,4370
"activity","The Big Lottery Fund","Sri Lanka",2009,1,1000,1000,1000
"activity","The Big Lottery Fund","Sudan",2007,2,14680,9680,7340
"activity","The Big Lottery Fund","Sudan",2008,1,5000,5000,5000
"activity","The Big Lottery Fund","Sudan",2010,1,9490,9490,9490
"activity","The Big Lottery Fund","Tanzania",2007,1,519221,519221,519221
"activity","The Big Lottery Fund","Uganda",2013,1,9530,9530,9530
"activity","The Big Lottery Fund","United Kingdom",2005,1,5000,5000,5000
"activity","The Big Lottery Fund","United Kingdom",2007,2,28854200,28850000,14427100
"activity","The Big Lottery Fund","United Kingdom",2008,1,9210,9210,9210
"activity","The Big Lottery Fund","United Kingdom",2017,1,10000,10000,10000
"activity","The Big Lottery Fund","Vietnam",2006,2,4400,2500,2200
"activity","The Big Lottery Fund","Vietnam",2011,1,10000,10000,10000
"activity","The Big Lottery Fund","Vietnam",2013,1,108813,108813,108813
"activity","The Big Lottery Fund","Yemen",2005,1,4228,4228,4228
"activity","The Big Lottery Fund","Yemen",2006,1,61856,61856,61856
"activity","The Big Lottery Fund","Yemen",2013,2,594239,584239,297119.5
"activity","The Big Lottery Fund","Zambia",2004,1,5000,5000,5000
"activity","The Big Lottery Fund",NA,2004,1536,284861584,4638975,185456.760416667
"activity","The Big Lottery Fund",NA,2005,1275,77008389,2500000,60398.7364705882
"activity","The Big Lottery Fund",NA,2006,1675,46025402,7997162,27477.8519402985
"activity","The Big Lottery Fund",NA,2007,983,31771131,8150777,32320.5808748728
"activity","The Big Lottery Fund",NA,2008,1104,25322787.25,973160,22937.3072916667
"activity","The Big Lottery Fund",NA,2009,903,25317550,1130447,28037.15393134
"activity","The Big Lottery Fund",NA,2010,769,15629772,557448,20324.8010403121
"activity","The Big Lottery Fund",NA,2011,796,19085428.34,931495,23976.6687688442
"activity","The Big Lottery Fund",NA,2012,831,27617968.68,7e+06,33234.6193501805
"activity","The Big Lottery Fund",NA,2013,703,25054515.41,9994537,35639.4244807966
"activity","The Big Lottery Fund",NA,2014,263,4937843.26,483753,18775.0694296578
"activity","The Big Lottery Fund",NA,2015,488,16496827,793362,33804.9733606557
"activity","The Big Lottery Fund",NA,2016,668,22553603,778100,33762.878742515
"activity","The Big Lottery Fund",NA,2017,523,20781668,1500000,39735.5028680688
"activity","The Wellcome Trust","Chile",2006,1,55091,55091,55091
"activity","The Wellcome Trust","Chile",2011,1,29899,29899,29899
"activity","The Wellcome Trust","China",2016,1,49708,49708,49708
"activity","The Wellcome Trust","Ethiopia",2012,1,150902,150902,150902
"activity","The Wellcome Trust","Ghana",2013,1,29989,29989,29989
"activity","The Wellcome Trust","Greece",2016,1,44328,44328,44328
"activity","The Wellcome Trust","Honduras",2017,1,10154,10154,10154
"activity","The Wellcome Trust","India",2007,1,1250,1250,1250
"activity","The Wellcome Trust","India",2014,3,30491,21451,10163.6666666667
"activity","The Wellcome Trust","Ireland",2009,1,14346,14346,14346
"activity","The Wellcome Trust","Ireland",2011,1,27974,27974,27974
"activity","The Wellcome Trust","Kenya",2010,1,27337,27337,27337
"activity","The Wellcome Trust","Norway",2014,1,4854,4854,4854
"activity","The Wellcome Trust","South Africa",2005,1,53965,53965,53965
"activity","The Wellcome Trust","South Africa",2007,1,66432,66432,66432
"activity","The Wellcome Trust","South Africa",2010,1,25488,25488,25488
"activity","The Wellcome Trust","Thailand",2005,1,1e+06,1e+06,1e+06
"activity","The Wellcome Trust","United Kingdom",2010,1,3081,3081,3081
"activity","The Wellcome Trust","United Kingdom",2014,1,4506,4506,4506
"activity","The Wellcome Trust","Zimbabwe",2015,1,25933,25933,25933
"activity","The Wellcome Trust",NA,2005,2,303626,153062,151813
"activity","The Wellcome Trust",NA,2006,6,555130,282788,92521.6666666667
"activity","The Wellcome Trust",NA,2007,8,3862753,1856531,482844.125
"activity","The Wellcome Trust",NA,2008,5,229051,139636,45810.2
"activity","The Wellcome Trust",NA,2009,4,449903,209910,112475.75
"activity","The Wellcome Trust",NA,2010,17,1986836,687783,116872.705882353
"activity","The Wellcome Trust",NA,2011,16,1237522,5e+05,77345.125
"activity","The Wellcome Trust",NA,2012,4,111434,53794,27858.5
"activity","The Wellcome Trust",NA,2013,5,438409,250000,87681.8
"activity","The Wellcome Trust",NA,2014,15,4241710,1903293,282780.666666667
"activity","The Wellcome Trust",NA,2015,8,4729449,4366023,591181.125
"activity","The Wellcome Trust",NA,2016,18,1536399,905754,85355.5
"activity","The Wellcome Trust",NA,2017,9,113705,75271,12633.8888888889
"child","Comic Relief","Dominican Republic",2015,1,232138,232138,232138
"child","Comic Relief","Ethiopia",2016,1,460014,460014,460014
"child","Comic Relief","Haiti",2015,1,277657,277657,277657
"child","Comic Relief","Kenya",2016,1,174989,174989,174989
"child","Comic Relief","Liberia",2016,1,49960,49960,49960
"child","Comic Relief","Malawi",2015,1,553940,553940,553940
"child","Comic Relief","Malawi",2016,1,50000,50000,50000
"child","Comic Relief","Mali",2015,1,996987,996987,996987
"child","Comic Relief","Nigeria",2015,2,18943,10000,9471.5
"child","Comic Relief","Senegal",2016,1,767078,767078,767078
"child","Comic Relief","Sierra Leone",2016,1,227546,227546,227546
"child","Comic Relief","South Sudan",2015,1,244874,244874,244874
"child","Comic Relief","Syria",2015,1,287616,287616,287616
"child","Comic Relief","Tanzania",2016,1,886365,886365,886365
"child","Comic Relief","Tanzania",2017,1,2500000,2500000,2500000
"child","Comic Relief","Uganda",2015,3,2039931,1500000,679977
"child","Comic Relief",NA,2015,20,5888839,1562392,294441.95
"child","Comic Relief",NA,2016,13,3003760,8e+05,231058.461538462
"child","Comic Relief",NA,2017,5,1830049,1150746,366009.8
"child","Esmée Fairbairn Foundation","Ireland",2009,1,74739,74739,74739
"child","Esmée Fairbairn Foundation","Venezuela",2009,1,150000,150000,150000
"child","Esmée Fairbairn Foundation",NA,2008,17,1104683.33,237413,64981.3723529412
"child","Esmée Fairbairn Foundation",NA,2009,19,1293425,3e+05,68075
"child","Esmée Fairbairn Foundation",NA,2010,9,844613,3e+05,93845.8888888889
"child","Esmée Fairbairn Foundation",NA,2011,19,1918967,9e+05,100998.263157895
"child","Esmée Fairbairn Foundation",NA,2012,27,3122584.41,692055,115651.274444444
"child","Esmée Fairbairn Foundation",NA,2013,28,2924447,499974,104444.535714286
"child","Esmée Fairbairn Foundation",NA,2014,14,2180314,387251,155736.714285714
"child","Esmée Fairbairn Foundation",NA,2015,21,2066985,3e+05,98427.8571428571
"child","Esmée Fairbairn Foundation",NA,2016,25,2911401,250000,116456.04
"child","Esmée Fairbairn Foundation",NA,2017,20,3070152,499895,153507.6
"child","Ministry of Justice",NA,2012,89,2133369,170000,23970.4382022472
"child","Northern Rock Foundation",NA,2004,8,379462,112523,47432.75
"child","Northern Rock Foundation",NA,2005,8,369588,99218,46198.5
"child","Northern Rock Foundation",NA,2006,10,504805,134463,50480.5
"child","Northern Rock Foundation",NA,2007,9,586840,292693,65204.4444444444
"child","Northern Rock Foundation",NA,2008,8,820780,233252,102597.5
"child","Northern Rock Foundation",NA,2009,5,520216,133108,104043.2
"child","Northern Rock Foundation",NA,2010,10,1019835,270000,101983.5
"child","Northern Rock Foundation",NA,2011,6,236543,127323,39423.8333333333
"child","Northern Rock Foundation",NA,2012,6,368525,109663,61420.8333333333
"child","Northern Rock Foundation",NA,2013,4,86225,60000,21556.25
"child","Northern Rock Foundation",NA,2014,1,60000,60000,60000
"child","others","Australia",2017,1,785,785,785
"child","others","Bangladesh",2004,1,1050,1050,1050
"child","others","Bangladesh",2007,1,1000,1000,1000
"child","others","Bangladesh",2015,2,20000,10000,10000
"child","others","Belarus",2017,1,888.94,888.94,888.94
"child","others","Brazil",2011,1,1000,1000,1000
"child","others","Congo",2005,1,1000,1000,1000
"child","others","Congo",2012,1,2000,2000,2000
"child","others","Congo",2014,1,10000,10000,10000
"child","others","Ethiopia",2014,1,500,500,500
"child","others","France",2017,1,3600,3600,3600
"child","others","Georgia",2014,1,50000,50000,50000
"child","others","India",2008,1,30000,30000,30000
"child","others","India",2011,1,1634,1634,1634
"child","others","India",2013,2,4000,2500,2000
"child","others","India",2017,2,5700,4700,2850
"child","others","Iran",2015,1,10000,10000,10000
"child","others","Iran",2017,1,3360000,3360000,3360000
"child","others","Ireland",2009,1,1000,1000,1000
"child","others","Ireland",2012,2,2200,1500,1100
"child","others","Ireland",2014,1,98500,98500,98500
"child","others","Ireland",2017,1,2000,2000,2000
"child","others","Jamaica",2016,1,1320,1320,1320
"child","others","Kenya",2015,1,11872.3,11872.3,11872.3
"child","others","Kenya",2016,1,500,500,500
"child","others","Malawi",2017,1,20414,20414,20414
"child","others","Nepal",2017,3,3334.68,2234.68,1111.56
"child","others","Pakistan",2015,1,77397,77397,77397
"child","others","South Africa",2004,1,6226,6226,6226
"child","others","South Africa",2015,1,500,500,500
"child","others","Sudan",2016,1,5000,5000,5000
"child","others","Syria",2015,1,10000,10000,10000
"child","others","Syria",2016,1,4096,4096,4096
"child","others","Syria",2017,1,5000,5000,5000
"child","others",NA,2004,22,130274,70000,5921.54545454545
"child","others",NA,2005,42,175222,35000,4171.95238095238
"child","others",NA,2006,28,131269,35000,4688.17857142857
"child","others",NA,2007,42,144700,25000,3445.2380952381
"child","others",NA,2008,37,120814.68,24200,3265.26162162162
"child","others",NA,2009,42,147062,30000,3501.47619047619
"child","others",NA,2010,76,867378,44400,11412.8684210526
"child","others",NA,2011,43,546483,40000,12708.9069767442
"child","others",NA,2012,174,4045202,3e+05,23248.2873563218
"child","others",NA,2013,431,16366917.44,1800000,37974.2864037123
"child","others",NA,2014,624,26720901.79,1e+06,42821.9579967949
"child","others",NA,2015,996,35718590.64,1500000,35862.0387951807
"child","others",NA,2016,690,16565583.41,1500000,24008.0918985507
"child","others",NA,2017,2127,12974557.54,593776,6099.93302303714
"child","Paul Hamlyn Foundation","Bangladesh",2006,1,4920,4920,4920
"child","Paul Hamlyn Foundation","Chile",2016,1,36972,36972,36972
"child","Paul Hamlyn Foundation","Germany",2016,1,25721,25721,25721
"child","Paul Hamlyn Foundation","Ireland",2008,1,88781,88781,88781
"child","Paul Hamlyn Foundation","Ireland",2016,1,388000,388000,388000
"child","Paul Hamlyn Foundation",NA,2006,8,106210.52,50000,13276.315
"child","Paul Hamlyn Foundation",NA,2007,10,545493,180120,54549.3
"child","Paul Hamlyn Foundation",NA,2008,8,458281,234000,57285.125
"child","Paul Hamlyn Foundation",NA,2009,8,627355,142000,78419.375
"child","Paul Hamlyn Foundation",NA,2010,13,1200357,150000,92335.1538461538
"child","Paul Hamlyn Foundation",NA,2011,6,657196,181100,109532.666666667
"child","Paul Hamlyn Foundation",NA,2012,17,1643788,262738,96693.4117647059
"child","Paul Hamlyn Foundation",NA,2013,9,1106576,227499,122952.888888889
"child","Paul Hamlyn Foundation",NA,2014,6,457362,120000,76227
"child","Paul Hamlyn Foundation",NA,2015,15,882133,153254,58808.8666666667
"child","Paul Hamlyn Foundation",NA,2016,27,2761413,350000,102274.555555556
"child","Sport England",NA,2009,5,43430,25000,8686
"child","Sport England",NA,2010,4,32073,12500,8018.25
"child","Sport England",NA,2011,5,41041,12442,8208.2
"child","Sport England",NA,2012,6,23163,10000,3860.5
"child","Sport England",NA,2014,4,1596787,1538076,399196.75
"child","Sport England",NA,2017,5,331973,246303,66394.6
"child","The Big Lottery Fund","Afghanistan",2005,1,490045,490045,490045
"child","The Big Lottery Fund","Albania",2005,1,59933,59933,59933
"child","The Big Lottery Fund","Albania",2006,1,5000,5000,5000
"child","The Big Lottery Fund","Albania",2007,2,16610,9200,8305
"child","The Big Lottery Fund","Albania",2010,2,13480,9980,6740
"child","The Big Lottery Fund","Albania",2011,1,10000,10000,10000
"child","The Big Lottery Fund","Albania",2012,1,10000,10000,10000
"child","The Big Lottery Fund","Albania",2016,1,325886,325886,325886
"child","The Big Lottery Fund","Angola",2006,1,4900,4900,4900
"child","The Big Lottery Fund","Angola",2015,1,9600,9600,9600
"child","The Big Lottery Fund","Australia",2014,2,11780,7700,5890
"child","The Big Lottery Fund","Azerbaijan",2007,1,425761,425761,425761
"child","The Big Lottery Fund","Bangladesh",2004,8,609063,326023,76132.875
"child","The Big Lottery Fund","Bangladesh",2005,5,426475,284274,85295
"child","The Big Lottery Fund","Bangladesh",2006,5,461310,442400,92262
"child","The Big Lottery Fund","Bangladesh",2007,7,569082,518016,81297.4285714286
"child","The Big Lottery Fund","Bangladesh",2008,4,5431427,5168087,1357856.75
"child","The Big Lottery Fund","Bangladesh",2009,2,14311,7560,7155.5
"child","The Big Lottery Fund","Bangladesh",2010,1,253655,253655,253655
"child","The Big Lottery Fund","Bangladesh",2011,3,21415,9574,7138.33333333333
"child","The Big Lottery Fund","Bangladesh",2012,1,9998,9998,9998
"child","The Big Lottery Fund","Bangladesh",2013,3,217789,199763,72596.3333333333
"child","The Big Lottery Fund","Bangladesh",2014,1,10000,10000,10000
"child","The Big Lottery Fund","Bangladesh",2016,3,25070,10000,8356.66666666667
"child","The Big Lottery Fund","Bangladesh",2017,1,9860,9860,9860
"child","The Big Lottery Fund","Belgium",2005,1,4650,4650,4650
"child","The Big Lottery Fund","Belgium",2006,1,6318,6318,6318
"child","The Big Lottery Fund","Bhutan",2007,1,9950,9950,9950
"child","The Big Lottery Fund","Brazil",2005,2,7960,4960,3980
"child","The Big Lottery Fund","Brazil",2006,3,81667,72620,27222.3333333333
"child","The Big Lottery Fund","Brazil",2007,3,21939,7800,7313
"child","The Big Lottery Fund","Brazil",2008,1,10000,10000,10000
"child","The Big Lottery Fund","Brazil",2009,2,14075,9275,7037.5
"child","The Big Lottery Fund","Brazil",2011,1,10000,10000,10000
"child","The Big Lottery Fund","Bulgaria",2012,1,4964,4964,4964
"child","The Big Lottery Fund","Bulgaria",2016,1,4600,4600,4600
"child","The Big Lottery Fund","Burkina Faso",2007,1,9410,9410,9410
"child","The Big Lottery Fund","Cambodia",2013,2,516626,508966,258313
"child","The Big Lottery Fund","Cameroon",2004,1,4719,4719,4719
"child","The Big Lottery Fund","Cameroon",2006,1,125125,125125,125125
"child","The Big Lottery Fund","Cameroon",2007,1,4177,4177,4177
"child","The Big Lottery Fund","Canada",2009,1,6723,6723,6723
"child","The Big Lottery Fund","Canada",2011,1,899920,899920,899920
"child","The Big Lottery Fund","Chad",2004,2,10000,5000,5000
"child","The Big Lottery Fund","Chad",2005,1,3740,3740,3740
"child","The Big Lottery Fund","Chad",2009,1,4977,4977,4977
"child","The Big Lottery Fund","Chad",2010,1,5172,5172,5172
"child","The Big Lottery Fund","China",2008,1,8140,8140,8140
"child","The Big Lottery Fund","Colombia",2005,1,624781,624781,624781
"child","The Big Lottery Fund","Congo",2004,2,10000,5000,5000
"child","The Big Lottery Fund","Congo",2006,1,9560,9560,9560
"child","The Big Lottery Fund","Congo",2007,1,9780,9780,9780
"child","The Big Lottery Fund","Congo",2009,1,527240,527240,527240
"child","The Big Lottery Fund","Congo",2010,1,6870,6870,6870
"child","The Big Lottery Fund","Congo",2015,2,18722,9995,9361
"child","The Big Lottery Fund","Costa Rica",2006,1,5000,5000,5000
"child","The Big Lottery Fund","East Timor",2005,1,318463,318463,318463
"child","The Big Lottery Fund","Egypt",2009,1,9834,9834,9834
"child","The Big Lottery Fund","Eritrea",2005,1,3600,3600,3600
"child","The Big Lottery Fund","Ethiopia",2004,2,772308,767308,386154
"child","The Big Lottery Fund","Ethiopia",2007,1,3453,3453,3453
"child","The Big Lottery Fund","Ethiopia",2008,1,497110,497110,497110
"child","The Big Lottery Fund","Ethiopia",2009,1,2805404,2805404,2805404
"child","The Big Lottery Fund","Ethiopia",2011,3,521700,503500,173900
"child","The Big Lottery Fund","Ethiopia",2012,1,9725,9725,9725
"child","The Big Lottery Fund","France",2004,1,1270,1270,1270
"child","The Big Lottery Fund","France",2005,3,10750,5000,3583.33333333333
"child","The Big Lottery Fund","France",2007,1,2155,2155,2155
"child","The Big Lottery Fund","France",2008,1,10000,10000,10000
"child","The Big Lottery Fund","France",2011,2,9152,4852,4576
"child","The Big Lottery Fund","France",2016,1,9996,9996,9996
"child","The Big Lottery Fund","Georgia",2006,2,4810,4210,2405
"child","The Big Lottery Fund","Georgia",2008,1,3500,3500,3500
"child","The Big Lottery Fund","Germany",2005,1,8135,8135,8135
"child","The Big Lottery Fund","Ghana",2005,3,196785,187485,65595
"child","The Big Lottery Fund","Ghana",2006,1,3950,3950,3950
"child","The Big Lottery Fund","Ghana",2007,2,323155,313255,161577.5
"child","The Big Lottery Fund","Ghana",2008,1,482932,482932,482932
"child","The Big Lottery Fund","Ghana",2013,1,11664,11664,11664
"child","The Big Lottery Fund","Guatemala",2005,1,314852,314852,314852
"child","The Big Lottery Fund","Guatemala",2007,1,10000,10000,10000
"child","The Big Lottery Fund","Iceland",2009,1,5000,5000,5000
"child","The Big Lottery Fund","India",2004,6,33193,9223,5532.16666666667
"child","The Big Lottery Fund","India",2005,10,1257212,570741,125721.2
"child","The Big Lottery Fund","India",2006,13,1782858,755937,137142.923076923
"child","The Big Lottery Fund","India",2007,5,295645,269933,59129
"child","The Big Lottery Fund","India",2008,3,515342,498323,171780.666666667
"child","The Big Lottery Fund","India",2009,2,14375,9880,7187.5
"child","The Big Lottery Fund","India",2010,2,14250,9450,7125
"child","The Big Lottery Fund","India",2011,3,22500,9700,7500
"child","The Big Lottery Fund","India",2012,4,413191,388948,103297.75
"child","The Big Lottery Fund","India",2013,3,487707,477915,162569
